Date,Open,High,Low,Close,Adj Close,Volume,daily_change,sharp_move,target,volume_change,high_low_spread,combined_text,avg_sentiment,sentiment_std,sentiment_count,article_count
2025-05-08,69.3,70.946,69.3,70.48,70.48,11791492,0.026059106128985432,1,0.0,0.4545658645609092,0.023354143019296263,,0.0,0.0,0.0,0.0
2025-05-09,70.87,71.32,70.01,70.26,70.26,7470489,-0.0031214528944381037,0,1.0,-0.3664509122340074,0.018645032735553485,,0.0,0.0,0.0,0.0
2025-05-12,72.97,74.15,71.85,72.31,72.31,12513047,0.029177341303729065,1,0.0,0.674997045039488,0.031807495505462746,,0.0,0.0,0.0,0.0
2025-05-13,72.41,72.65,71.89,72.29,72.29,8076183,-0.00027658691743870367,0,0.0,-0.3545790245972863,0.010513210679208813,,0.0,0.0,0.0,0.0
2025-05-14,72.66,73.34,72.2403,72.68,72.68,7724048,0.005394937059067573,0,0.0,-0.04360166182465153,0.015130709961474937,,0.0,0.0,0.0,0.0
2025-05-15,72.34,72.67,71.44,71.57,71.57,8116475,-0.015272427077600681,0,0.0,0.050805872775518734,0.017185971775883806,,0.0,0.0,0.0,0.0
2025-05-16,71.47,72.22,71.08,72.18,72.18,8717851,0.008523124214056432,0,0.0,0.07409324860853994,0.015793848711554453,,0.0,0.0,0.0,0.0
2025-05-19,71.16,72.54,71.11,72.32,72.32,7434931,0.001939595455804799,0,0.0,-0.14716012008005186,0.019773230088495672,"Betting Sites Not on Betstop AU - Goldenbet Picked as the Top AU NonBetstop Sportsbook In recent years, Australian players have increasingly sought alternatives to traditional betting platforms, exploring betting sites not on Betstop AU. These NonBetstop casinos offer a refreshing change, providing Aussie gamblers with greater freedom, fewer restrictions, and enhanced gaming ... Best Washington Online Casinos: Slots of Vegas Named the Top WA Casino Site Washington online casinos are popping up faster than coffee shops in Seattle, but let's face it-not all offer the jackpot experience you're craving. Thankfully, Slots of Vegas hits the sweet spot, combining big bonuses, thrilling games, and reliable payouts for players across Washington and the ... Best Online Slots for Real Money in Missouri: Super Slots Picked As Top MO Slot Site If you're in Missouri and looking to add some excitement to your day, there's nothing quite like spinning the reels of online slots for real money. The convenience, the thrill, and the potential rewards make playing online slots a favorite pastime for Missourians seeking entertainment from the ... Best PayPal Casinos 2025: High 5 Casino Ranked Top PayPal Casino In a definitive ranking of the best PayPal casinos 2025, High 5 Casino has emerged as the leading platform, setting a new standard for digital gaming experiences. The announcement comes after extensive industry evaluations and user feedback analyses that saw High 5 Casino outperform other ... Grand Prairie, Texas Students Win NFTE South Youth Entrepreneurship Challenge Dallas, TX, May 19, 2025 ( GLOBE NEWSWIRE ) -- Global entrepreneurship education nonprofit Network for Teaching Entrepreneurship ( NFTE ) has named five local student businesses as the winners of its annual South Regional Youth Entrepreneurship Challenge, hosted by Comerica Bank. What You Have Learned From 's David Gardner, Vol. 6 The best gifts are the ones that keep on giving, and that's what this episode of Rule Breaker Investing all about! Today's show highlights the things you've told us that you learned from Motley Fool co-founder David Gardner, called out and amplified to help us all navigate another challenging ... High-Yield ETFs: Big Payouts, Bigger Trade-Offs? Here's what investors should know about covered-call single-stock ETFs.",0.33677404846236014,0.2109628204119892,7.0,7.0
2025-05-20,71.89,72.78,71.74,72.61,72.61,8403163,0.004009955752212413,0,0.0,0.13022743586994956,0.01432309599228765,"Matsato Chef Knife Reviews [Urgent Update]: Don't Buy Until You Read This KEARNY, N.J., May 20, 2025 ( GLOBE NEWSWIRE ) -- Let's be honest-most kitchen knives are just... fine. They get the job done, until they don't. Maybe they crush tomatoes instead of slicing them, or they make you work twice as hard to prep dinner after a long day. Sound familiar? The Ultimate Growth Stock to Buy With $1,000 Right Now Is the market finally recovering? It's tentatively up this year, clawing back some of the gains it lost when tariffs became an unexpected key issue. But the tariff issue is far from over, and economic uncertainty is breeding market uncertainty.If you're looking for an excellent growth stock, your ... SHOP Surges 34% in a Month: Should You Buy the Stock Now or Wait? Shopify shares benefit from strong merchant growth and AI tools, but stretched valuation and fierce competition remain a concern.",0.182989417989418,0.01145893599963459,3.0,3.0
2025-05-21,72.2,73.2042,71.505,71.65,71.65,8094345,-0.013221319377496155,0,0.0,-0.0367502094151928,0.023715282623866078,"Best New Online Casinos 2025: Decode Ranked Best New U.S. Casino Decode Casino has officially been named the best new online casino of 2025 in a significant development that reshapes the U.S. online gaming landscape. This recognition distinguishes the platform from the crowded field of emerging online casinos in the U.S. Chicago Student Wins NFTE Midwest Youth Entrepreneurship Challenge Chicago, IL, May 21, 2025 ( GLOBE NEWSWIRE ) -- Global entrepreneurship education nonprofit Network for Teaching Entrepreneurship ( NFTE ) has named six local student businesses as the winners of its annual Midwest Regional Youth Entrepreneurship Challenge. Best Betting Apps in Texas - BetWhale Picked As the Top TX Sportsbook Mobile App In Texas, sports aren't just entertainment-they're a way of life. Texans wear their team loyalties like badges of honor, proudly supporting everything from Friday night high school football under stadium lights to major league events packed with screaming fans. Gateway Funnel Pros CEO Highlights Webflow's Growth - Adds High-Risk Payment Processing Support WINDHAM, Maine, May 21, 2025 /PRNewswire/ -- Alex Roy, CEO of Gateway Funnel Pros, a leading payment gateway and merchant account provider specializing in high-risk and e-commerce payment solutions, today announced the launch of a robust new credit card processing application, integration, and ... Best Online Casinos 2025: Why JACKBIT Is the Top Online Casino for Big Bonuses and Free Spins! ORLANDO, Fla., May 21, 2025 ( GLOBE NEWSWIRE ) -- Looking for the Best Online Casinos in 2025? If you're searching for one of the best casinos that offers lightning-fast payouts, massive bonuses, and a secure platform to play with real money using cryptocurrencies, JACKBIT is the answer. Chamath Palihapitiya Says He'd Send His Son To College Only For The Culture, 'The Best Thing You Could Do..' Chamath Palihapitiya says the true dividend of college isn't a diploma but ""culture."" What Happened: During the latest All-In podcast, the Social Capital founder told co-host David Friedberg, ""My son is a rising junior and his entire focus is that he wants to go to an SEC school because of the ... Bitget Wallet Launches New Brand Identity and ""Crypto for Everyone"" Movement SAN SALVADOR, El Salvador, May 21, 2025 ( GLOBE NEWSWIRE ) -- Bitget Wallet, the leading non-custodial crypto wallet, has unveiled a new brand identity to reflect its evolution into a full-service crypto wallet designed for everyday use.",0.27337244897959184,0.19844382051839513,7.0,7.0
